what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.android.ide.eclipse.hierarchyviewer,22.3.0.v201310242005-887826,"com.android.ide.eclipse.hierarchyviewer",1396813496421
stopped,bundle,com.android.ide.eclipse.traceview,22.3.0.v201310242005-887826,"com.android.ide.eclipse.traceview",1396813496421
stopped,bundle,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms",1396813505246
stopped,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1396813505246
stopped,bundle,org.eclipse.mylyn.commons.notifications.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.commons.notifications.ui",1396813505246
stopped,bundle,org.eclipse.mylyn.commons.repositories.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.commons.repositories.ui",1396813505247
stopped,bundle,org.eclipse.mylyn.wikitext.context.ui,1.8.1.v20130917-0100,"org.eclipse.mylyn.wikitext.context.ui",1396813505247
stopped,bundle,org.eclipse.mylyn.context.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.context.ui",1396813505248
stopped,bundle,org.eclipse.mylyn.commons.workbench,3.9.1.v20130917-0100,"org.eclipse.mylyn.commons.workbench",1396813505248
stopped,bundle,org.eclipse.mylyn.docs.epub.ui,1.1.1.v20130917-0100,"org.eclipse.mylyn.docs.epub.ui",1396813505249
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.8.1.v20130917-0100,"org.eclipse.mylyn.wikitext.ui",1396813505250
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.plan",1396813505250
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.1.2.v201110010535,"org.eclipse.datatools.sqltools.result.ui",1396813505251
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v201107221520,"org.eclipse.datatools.sqltools.common.ui",1396813505251
stopped,bundle,fr.obeo.dsl.viewpoint.editor.tree,1.0.0.201211220828,"fr.obeo.dsl.viewpoint.editor.tree",1396813505252
stopped,bundle,fr.obeo.dsl.viewpoint.editor,1.0.0.201211220828,"fr.obeo.dsl.viewpoint.editor",1396813505253
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1396813521132
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1396813521133
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1396813521134
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1396813521134
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1396813521136
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1396813521136
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1396813521137
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1396813521137
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1396813521138
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1396813521139
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1396813521140
